local-authority-code,label
MDW,Urban Mainstream
SND,Urban Mainstream
WFT,Urban Mainstream
SFT,Public sector
HNS,Urban Mainstream
MIK,Urban Mainstream
WSM,Public sector
HRY,Urban Mainstream
ROT,Urban Mainstream
WLV,Urban Mainstream
PLY,Urban Mainstream
SLF,Urban Mainstream
ABD,Agriculture
HAV,Urban Mainstream
KHL,Urban Mainstream
DER,Urban Mainstream
STE,Urban Mainstream
STH,Urban Mainstream
HRW,Urban Mainstream
ESK,Transport/Domestic
BEX,Urban Mainstream
ISL,Urban Mainstream
BNS,Urban Mainstream
SWA,Urban Mainstream
RCT,Transport/Domestic
OLD,Urban Mainstream
TRF,Urban Mainstream
HLD,Agriculture
ABE,Public sector
TAM,Urban Mainstream
RCH,Urban Mainstream
SWD,Urban Mainstream
SOL,Urban Mainstream
ABC,Industry/Commerical/Domestic
NSM,Urban Mainstream
POR,Urban Mainstream
BDG,Urban Mainstream
LUT,Urban Mainstream
CLD,Urban Mainstream
YOR,Urban Mainstream
WRT,Urban Mainstream
NTY,Urban Mainstream
STN,Urban Mainstream
MRT,Urban Mainstream
PTE,Transport/Domestic
GAT,Transport/Domestic
RIC,Urban Mainstream
STT,Transport/Domestic
COL,Urban Mainstream
BAS,Urban Mainstream
HEF,Agriculture
BUR,Urban Mainstream
CMN,Agriculture
CHA,Urban Mainstream
BAI,Urban Mainstream
WLN,Urban Mainstream
HMF,Public sector
SOS,Urban Mainstream
CAY,Transport/Domestic
NMD,Agriculture
TFW,Urban Mainstream
SHN,Public sector
NEW,Transport/Domestic
CHL,Transport/Domestic
RFW,Urban Mainstream
KTT,Urban Mainstream
HUN,Transport/Domestic
BAN,Transport/Domestic
WSK,Transport/Domestic
THR,Transport/Domestic
BDF,Urban Mainstream
WOK,Urban Mainstream
MAI,Urban Mainstream
NLN,Transport/Domestic
SSO,Transport/Domestic
CAT,Public sector
WEA,Transport/Domestic
AND,Agriculture
HAG,Transport/Domestic
ARU,Urban Mainstream
SCA,Transport/Domestic
FAL,Urban Mainstream
RDG,Urban Mainstream
NEL,Industry/Commerical/Domestic
WBK,Transport/Domestic
KEC,Public sector
FLN,Transport/Domestic
NWP,Transport/Domestic
DAC,Urban Mainstream
SWT,Transport/Domestic
BRA,Transport/Domestic
KWL,Transport/Domestic
MSS,Transport/Domestic
PKN,Transport/Domestic
CHR,Transport/Domestic
EHE,Transport/Domestic
OXO,Public sector
WNM,Transport/Domestic
KIN,Industry/Commerical/Domestic
STY,Urban Mainstream
DRS,Agriculture
SWL,Urban Mainstream
GRT,Transport/Domestic
BBD,Urban Mainstream
SLG,Urban Mainstream
SAL,Urban Mainstream
REI,Urban Mainstream
MUL,Agriculture
DND,Public sector
DGY,Agriculture
LAC,Urban Mainstream
EDE,Transport/Domestic
BGE,Transport/Domestic
TEN,Transport/Domestic
LBC,Transport/Domestic
HOR,Transport/Domestic
CCG,Agriculture
WAW,Transport/Domestic
NTL,Transport/Domestic
PRE,Public sector
SOX,Transport/Domestic
ANN,Industry/Commerical/Domestic
SKE,Transport/Domestic
SNO,Transport/Domestic
IOW,Urban Mainstream
NOW,Urban Mainstream
ELI,Transport/Domestic
THA,Agriculture
MDB,Transport/Domestic
BRE,Transport/Domestic
MEA,Industry/Commerical/Domestic
BPL,Urban Mainstream
VAL,Transport/Domestic
STA,Transport/Domestic
RCC,Industry/Commerical/Domestic
ELM,Transport/Domestic
TOB,Urban Mainstream
WRX,Agriculture
IPS,Urban Mainstream
EAT,Urban Mainstream
VGL,Transport/Domestic
TEI,Transport/Domestic
NAY,Industry/Commerical/Domestic
NHE,Transport/Domestic
EXE,Public sector
POW,Agriculture
TON,Urban Mainstream
STR,Transport/Domestic
EPP,Transport/Domestic
BRO,Transport/Domestic
WYC,Transport/Domestic
ASF,Urban Mainstream
NUN,Urban Mainstream
HAL,Urban Mainstream
GLO,Urban Mainstream
NEC,Transport/Domestic
AMB,Transport/Domestic
ASH,Urban Mainstream
TES,Transport/Domestic
PEM,Agriculture
WAE,Transport/Domestic
HAA,Urban Mainstream
WIN,Transport/Domestic
GWN,Transport/Domestic
CAB,Public sector
BRC,Urban Mainstream
WEW,Urban Mainstream
EHA,Transport/Domestic
SEG,Transport/Domestic
NEA,Transport/Domestic
EAY,Agriculture
CHI,Transport/Domestic
RUS,Transport/Domestic
SEV,Transport/Domestic
EST,Transport/Domestic
STO,Transport/Domestic
TUN,Urban Mainstream
CHO,Urban Mainstream
DOV,Urban Mainstream
BAE,Transport/Domestic
GED,Urban Mainstream
CWY,Transport/Domestic
NKE,Transport/Domestic
FMO,Agriculture
FAR,Urban Mainstream
MEN,Transport/Domestic
CHT,Public sector
ANS,Transport/Domestic
ERE,Urban Mainstream
SCB,Agriculture
BRT,Urban Mainstream
WLA,Transport/Domestic
DAR,Urban Mainstream
HIN,Transport/Domestic
SHE,Urban Mainstream
WYR,Transport/Domestic
CRW,Urban Mainstream
SST,Transport/Domestic
SAY,Transport/Domestic
WOX,Transport/Domestic
SRI,Transport/Domestic
WOT,Urban Mainstream
RUG,Transport/Domestic
SDE,Transport/Domestic
MAS,Urban Mainstream
EDU,Urban Mainstream
SCE,Transport/Domestic
CAR,Transport/Domestic
ELN,Transport/Domestic
DAL,Transport/Domestic
GRA,Urban Mainstream
LIF,Transport/Domestic
HER,Urban Mainstream
NNO,Transport/Domestic
CHS,Urban Mainstream
SLA,Agriculture
MSU,Transport/Domestic
NWL,Transport/Domestic
LEE,Transport/Domestic
EAS,Urban Mainstream
NED,Transport/Domestic
FEN,Transport/Domestic
BLA,Urban Mainstream
CAN,Urban Mainstream
WYE,Urban Mainstream
BRM,Transport/Domestic
WOC,Urban Mainstream
LIC,Public sector
WOI,Urban Mainstream
SPE,Urban Mainstream
GRY,Urban Mainstream
STF,Agriculture
NDE,Agriculture
ALL,Agriculture
HAT,Urban Mainstream
BRX,Urban Mainstream
ROH,Transport/Domestic
DEN,Transport/Domestic
TEW,Transport/Domestic
WAT,Urban Mainstream
WLI,Transport/Domestic
ERW,Urban Mainstream
SHO,Transport/Domestic
MRY,Agriculture
HAO,Transport/Domestic
MON,Agriculture
TOF,Transport/Domestic
RUH,Urban Mainstream
STG,Transport/Domestic
THE,Urban Mainstream
HPL,Transport/Domestic
MLN,Transport/Domestic
UTT,Transport/Domestic
BAB,Transport/Domestic
HIG,Industry/Commerical/Domestic
HAS,Urban Mainstream
PEN,Transport/Domestic
HAE,Agriculture
SEL,Industry/Commerical/Domestic
CAS,Urban Mainstream
RUN,Public sector
COT,Transport/Domestic
ECA,Transport/Domestic
BUN,Urban Mainstream
SUR,Transport/Domestic
TAN,Transport/Domestic
WDU,Public sector
STV,Urban Mainstream
SHA,Transport/Domestic
ROC,Urban Mainstream
MOL,Transport/Domestic
HAR,Urban Mainstream
FOE,Transport/Domestic
RED,Urban Mainstream
AGB,Agriculture
GOS,Urban Mainstream
MDE,Agriculture
BOS,Transport/Domestic
FYL,Transport/Domestic
HYN,Transport/Domestic
EPS,Urban Mainstream
MAV,Transport/Domestic
BRW,Transport/Domestic
IVC,Transport/Domestic
TAW,Urban Mainstream
CGN,Agriculture
DEB,Agriculture
ROS,Transport/Domestic
BOT,Transport/Domestic
AGY,Agriculture
BGW,Transport/Domestic
TOR,Agriculture
COP,Transport/Domestic
BAR,Industry/Commerical/Domestic
NWA,Transport/Domestic
MAL,Transport/Domestic
ADU,Urban Mainstream
RIB,Agriculture
MTY,Urban Mainstream
CRA,Agriculture
OAD,Urban Mainstream
WDE,Agriculture
RYE,Agriculture
EDN,Agriculture
RIH,Agriculture
MEL,Transport/Domestic
CLK,Industry/Commerical/Domestic
RUT,Transport/Domestic
ELS,Agriculture
ZET,Agriculture
ORK,Agriculture
LND,City of London
IOS,Urban Mainstream
